Date,inflow_cusec
17/02/2019,17968
18/02/2019,17093
19/02/2019,20697
20/02/2019,17829
21/02/2019,11331
22/02/2019,16263
23/02/2019,13373
24/02/2019,15767
25/02/2019,22295
26/02/2019,20121
27/02/2019,16565
28/02/2019,16081
01/03/2019,19688
02/03/2019,16414
03/03/2019,18531
04/03/2019,21967
05/03/2019,24990
06/03/2019,23849
07/03/2019,15654
08/03/2019,23951
09/03/2019,23771
10/03/2019,25318
11/03/2019,29451
12/03/2019,18945
13/03/2019,23898
14/03/2019,27986
15/03/2019,22015
16/03/2019,31738
17/03/2019,28971
18/03/2019,30965
19/03/2019,27276
20/03/2019,31997
21/03/2019,33332
22/03/2019,31399
23/03/2019,31982
24/03/2019,32670
25/03/2019,29853
26/03/2019,32587
27/03/2019,33161
28/03/2019,35361
29/03/2019,37804
30/03/2019,32225
31/03/2019,35624
01/04/2019,41044
02/04/2019,34970
03/04/2019,35337
04/04/2019,39015
05/04/2019,41546
06/04/2019,39654
07/04/2019,44213
08/04/2019,43404
09/04/2019,43967
10/04/2019,43712
11/04/2019,49640
12/04/2019,42650
13/04/2019,37862
14/04/2019,49292
15/04/2019,43712
16/04/2019,46014
17/04/2019,50224
18/04/2019,42091
19/04/2019,43744
20/04/2019,43296
21/04/2019,46315
22/04/2019,50613
23/04/2019,51460
24/04/2019,51308
25/04/2019,46831
26/04/2019,44725
27/04/2019,52402
28/04/2019,51405
29/04/2019,54776
30/04/2019,56078
01/05/2019,54958
02/05/2019,57391
03/05/2019,56361
04/05/2019,57823
05/05/2019,54674
06/05/2019,56800
07/05/2019,58476
08/05/2019,60889
09/05/2019,57783
10/05/2019,61059
11/05/2019,59225
12/05/2019,60192
13/05/2019,63549
14/05/2019,55592
15/05/2019,58186
16/05/2019,58128
17/05/2019,56067
18/05/2019,61519
19/05/2019,66283
20/05/2019,63654
21/05/2019,65569
22/05/2019,68704
23/05/2019,69874
24/05/2019,66130
25/05/2019,70838
26/05/2019,67486
27/05/2019,65122
28/05/2019,66269
29/05/2019,64020
30/05/2019,66200
31/05/2019,68184
01/06/2019,72055
02/06/2019,75185
03/06/2019,66246
04/06/2019,71933
05/06/2019,67986
06/06/2019,72877
07/06/2019,71396
08/06/2019,66623
09/06/2019,75220
10/06/2019,70930
11/06/2019,71444
12/06/2019,70128
13/06/2019,71656
14/06/2019,75176
15/06/2019,73589
16/06/2019,75397
17/06/2019,75742
18/06/2019,78853
19/06/2019,74089
20/06/2019,70903
21/06/2019,78741
22/06/2019,74742
23/06/2019,79267
24/06/2019,77250
25/06/2019,75873
26/06/2019,77470
27/06/2019,82423
28/06/2019,82938
29/06/2019,77042
30/06/2019,77430
01/07/2019,80285
02/07/2019,74615
03/07/2019,78237
04/07/2019,77235
05/07/2019,78319
06/07/2019,74932
07/07/2019,72708
08/07/2019,71292
09/07/2019,74182
10/07/2019,76172
11/07/2019,76671
12/07/2019,83355
13/07/2019,80843
14/07/2019,74611
15/07/2019,78502
16/07/2019,76188
17/07/2019,76497
18/07/2019,77837
19/07/2019,79058
20/07/2019,76093
21/07/2019,80202
22/07/2019,73474
23/07/2019,76799
24/07/2019,84442
25/07/2019,77177
26/07/2019,80657
27/07/2019,76471
28/07/2019,77768
29/07/2019,75674
30/07/2019,75143
31/07/2019,73115
01/08/2019,76535
02/08/2019,72470
03/08/2019,76792
04/08/2019,77812
05/08/2019,75407
06/08/2019,73192
07/08/2019,75145
08/08/2019,72581
09/08/2019,76029
10/08/2019,67434
11/08/2019,71618
12/08/2019,66340
13/08/2019,67506
14/08/2019,75754
15/08/2019,74010
16/08/2019,68819
17/08/2019,66115
18/08/2019,61366
19/08/2019,68258
20/08/2019,76770
21/08/2019,70426
22/08/2019,67048
23/08/2019,69719
24/08/2019,63230
25/08/2019,66603
26/08/2019,67369
27/08/2019,66380
28/08/2019,68571
29/08/2019,66786
30/08/2019,67304
31/08/2019,62774
01/09/2019,67067
02/09/2019,68787
03/09/2019,60511
04/09/2019,60274
05/09/2019,66453
06/09/2019,61375
07/09/2019,65658
08/09/2019,59611
09/09/2019,64791
10/09/2019,60302
11/09/2019,60158
12/09/2019,63550
13/09/2019,57237
14/09/2019,54961
15/09/2019,55897
16/09/2019,58053
17/09/2019,51449
18/09/2019,57504
19/09/2019,53417
20/09/2019,57915
21/09/2019,46724
22/09/2019,50979
23/09/2019,47708
24/09/2019,49714
25/09/2019,52359
26/09/2019,50498
27/09/2019,49694
28/09/2019,49392
29/09/2019,49894
30/09/2019,45670
01/10/2019,50226
02/10/2019,49502
03/10/2019,48077
04/10/2019,47998
05/10/2019,46622
06/10/2019,51243
07/10/2019,44280
08/10/2019,43023
09/10/2019,41087
10/10/2019,39654
11/10/2019,38420
12/10/2019,38891
13/10/2019,40749
14/10/2019,41368
15/10/2019,39924
16/10/2019,36880
17/10/2019,41285
18/10/2019,40211
19/10/2019,36924
20/10/2019,34856
21/10/2019,37874
22/10/2019,36208
23/10/2019,30718
24/10/2019,34279
25/10/2019,34692
26/10/2019,30633
27/10/2019,33330
28/10/2019,27827
29/10/2019,35635
30/10/2019,34809
31/10/2019,29750
01/11/2019,31043
02/11/2019,22173
03/11/2019,25387
04/11/2019,27433
05/11/2019,24560
06/11/2019,29386
07/11/2019,32707
08/11/2019,22662
09/11/2019,23161
10/11/2019,25866
11/11/2019,29485
12/11/2019,20482
13/11/2019,24400
14/11/2019,28626
15/11/2019,17722
16/11/2019,18355
17/11/2019,20454
18/11/2019,19697
19/11/2019,23237
20/11/2019,21071
21/11/2019,14575
22/11/2019,21007
23/11/2019,17296
24/11/2019,22427
25/11/2019,16303
26/11/2019,15865
27/11/2019,18996
28/11/2019,19266
29/11/2019,17934
30/11/2019,11154
01/12/2019,17453
02/12/2019,12373
03/12/2019,15827
04/12/2019,10503
05/12/2019,15775
06/12/2019,11687
07/12/2019,9938
08/12/2019,15616
09/12/2019,13896
10/12/2019,11035
11/12/2019,16945
12/12/2019,10993
13/12/2019,12145
14/12/2019,12598
15/12/2019,9684
16/12/2019,12717
17/12/2019,9474
18/12/2019,9620
19/12/2019,14733
20/12/2019,8000
21/12/2019,8000
22/12/2019,14906
23/12/2019,17550
24/12/2019,8526
25/12/2019,8000
26/12/2019,8518
27/12/2019,8460
28/12/2019,8629
29/12/2019,8000
30/12/2019,10726
31/12/2019,10471
01/01/2020,8000
02/01/2020,10846
03/01/2020,14847
04/01/2020,9156
05/01/2020,8000
06/01/2020,8147
07/01/2020,10401
08/01/2020,8000
09/01/2020,9044
10/01/2020,8000
11/01/2020,14131
12/01/2020,8099
13/01/2020,13670
14/01/2020,8000
15/01/2020,10548
16/01/2020,9819
17/01/2020,8000
18/01/2020,9575
19/01/2020,12786
20/01/2020,8294
21/01/2020,8000
22/01/2020,9476
23/01/2020,8000
24/01/2020,8805
25/01/2020,9754
26/01/2020,8000
27/01/2020,8000
28/01/2020,12005
29/01/2020,9197
30/01/2020,8000
31/01/2020,13562
01/02/2020,12260
02/02/2020,9546
03/02/2020,8000
04/02/2020,14713
05/02/2020,13527
06/02/2020,19910
07/02/2020,14314
08/02/2020,14517
09/02/2020,13163
10/02/2020,16433
11/02/2020,16185
12/02/2020,18401
13/02/2020,13427
14/02/2020,14038
15/02/2020,14268
16/02/2020,18448
17/02/2020,20949
18/02/2020,15464
19/02/2020,15960
20/02/2020,18579
21/02/2020,17309
22/02/2020,21320
23/02/2020,12134
24/02/2020,16842
25/02/2020,17414
26/02/2020,13247
27/02/2020,17771
28/02/2020,18377
29/02/2020,20987
01/03/2020,25403
02/03/2020,21809
03/03/2020,19939
04/03/2020,23353
05/03/2020,27170
06/03/2020,21600
07/03/2020,22307
08/03/2020,27230
09/03/2020,25411
10/03/2020,28545
11/03/2020,27094
12/03/2020,29777
13/03/2020,25108
14/03/2020,28723
15/03/2020,28678
16/03/2020,26218
17/03/2020,25735
18/03/2020,33046
19/03/2020,30503
20/03/2020,29060
21/03/2020,32412
22/03/2020,36662
23/03/2020,27017
24/03/2020,29953
25/03/2020,32261
26/03/2020,40003
27/03/2020,37059
28/03/2020,39107
29/03/2020,33981
30/03/2020,34641
31/03/2020,39943
01/04/2020,39376
02/04/2020,41450
03/04/2020,39845
04/04/2020,41848
05/04/2020,42094
06/04/2020,44559
07/04/2020,45255
08/04/2020,38582
09/04/2020,37308
10/04/2020,47662
11/04/2020,48828
12/04/2020,42811
13/04/2020,40900
14/04/2020,47383
15/04/2020,50483
16/04/2020,53688
17/04/2020,50447
18/04/2020,48384
19/04/2020,47420
20/04/2020,50732
21/04/2020,50396
22/04/2020,48843
23/04/2020,58626
24/04/2020,58424
25/04/2020,57064
26/04/2020,51477
27/04/2020,57385
28/04/2020,57317
29/04/2020,57300
30/04/2020,60292
01/05/2020,59016
02/05/2020,59894
03/05/2020,60144
04/05/2020,59810
05/05/2020,53988
06/05/2020,60136
07/05/2020,58758
08/05/2020,57124
09/05/2020,66541
10/05/2020,67210
11/05/2020,66622
12/05/2020,63826
13/05/2020,67623
14/05/2020,64112
15/05/2020,65183
16/05/2020,61787
17/05/2020,66745
18/05/2020,66216
19/05/2020,62601
20/05/2020,66822
21/05/2020,67197
22/05/2020,73283
23/05/2020,71020
24/05/2020,68811
25/05/2020,69956
26/05/2020,69767
27/05/2020,69443
28/05/2020,67215
29/05/2020,70411
30/05/2020,69020
31/05/2020,67894
01/06/2020,73556
02/06/2020,73567
03/06/2020,67394
04/06/2020,72740
05/06/2020,76440
06/06/2020,76966
07/06/2020,77194
08/06/2020,74552
09/06/2020,72209
10/06/2020,71794
11/06/2020,76371
12/06/2020,76757
13/06/2020,79755
14/06/2020,79456
15/06/2020,76014
16/06/2020,72923
17/06/2020,75934
18/06/2020,77769
19/06/2020,76727
20/06/2020,75806
21/06/2020,78495
22/06/2020,76411
23/06/2020,76216
24/06/2020,79201
25/06/2020,77217
26/06/2020,79303
27/06/2020,79526
28/06/2020,75415
29/06/2020,77506
30/06/2020,83369
01/07/2020,75666
02/07/2020,72887
03/07/2020,73727
04/07/2020,79465
05/07/2020,79525
06/07/2020,79124
07/07/2020,83153
08/07/2020,71516
09/07/2020,80735
10/07/2020,84235
11/07/2020,76160
12/07/2020,78386
13/07/2020,77238
14/07/2020,76775
15/07/2020,78431
16/07/2020,83633
17/07/2020,84793
18/07/2020,78193
19/07/2020,84826
20/07/2020,79117
21/07/2020,84161
22/07/2020,78500
23/07/2020,79042
24/07/2020,79604
25/07/2020,87894
26/07/2020,80750
27/07/2020,75904
28/07/2020,80752
29/07/2020,76569
30/07/2020,75985
31/07/2020,79970
01/08/2020,77117
02/08/2020,77631
03/08/2020,76598
04/08/2020,77318
05/08/2020,77325
06/08/2020,69972
07/08/2020,77507
08/08/2020,72276
09/08/2020,70601
10/08/2020,74449
11/08/2020,74564
12/08/2020,71911
13/08/2020,76155
14/08/2020,69298
15/08/2020,71757
16/08/2020,70868
17/08/2020,72120
18/08/2020,72725
19/08/2020,68485
20/08/2020,73294
21/08/2020,70915
22/08/2020,64648
23/08/2020,64037
24/08/2020,69458
25/08/2020,68407
26/08/2020,68328
27/08/2020,68115
28/08/2020,68429
29/08/2020,70142
30/08/2020,63506
31/08/2020,62857
01/09/2020,62621
02/09/2020,66289
03/09/2020,68672
04/09/2020,63152
05/09/2020,56444
06/09/2020,58335
07/09/2020,60440
08/09/2020,60752
09/09/2020,60682
10/09/2020,61499
11/09/2020,59920
12/09/2020,63470
13/09/2020,57757
14/09/2020,56656
15/09/2020,60133
16/09/2020,53539
17/09/2020,58761
18/09/2020,57341
19/09/2020,56029
20/09/2020,60672
21/09/2020,53472
22/09/2020,60948
23/09/2020,53516
24/09/2020,49785
25/09/2020,53246
26/09/2020,49225
27/09/2020,49615
28/09/2020,52475
29/09/2020,52362
30/09/2020,48239
01/10/2020,52477
02/10/2020,52394
03/10/2020,52637
04/10/2020,49321
05/10/2020,51228
06/10/2020,40899
07/10/2020,44991
08/10/2020,42747
09/10/2020,45108
10/10/2020,42440
11/10/2020,43059
12/10/2020,48608
13/10/2020,41856
14/10/2020,43012
15/10/2020,40480
16/10/2020,40811
17/10/2020,40011
18/10/2020,40748
19/10/2020,42311
20/10/2020,43171
21/10/2020,38573
22/10/2020,38831
23/10/2020,33030
24/10/2020,35642
25/10/2020,38153
26/10/2020,37358
27/10/2020,34827
28/10/2020,36286
29/10/2020,34538
30/10/2020,36108
31/10/2020,32821
01/11/2020,30335
02/11/2020,31864
03/11/2020,21522
04/11/2020,30925
05/11/2020,18298
06/11/2020,23545
07/11/2020,29547
08/11/2020,29106
09/11/2020,23672
10/11/2020,24516
11/11/2020,30261
12/11/2020,24201
13/11/2020,31891
14/11/2020,24671
15/11/2020,25422
16/11/2020,28576
17/11/2020,23652
18/11/2020,19792
19/11/2020,22017
20/11/2020,21793
21/11/2020,17366
22/11/2020,20261
23/11/2020,18377
24/11/2020,22958
25/11/2020,19879
26/11/2020,18524
27/11/2020,18659
28/11/2020,19259
29/11/2020,20061
30/11/2020,14840
01/12/2020,14351
02/12/2020,20435
03/12/2020,15538
04/12/2020,12186
05/12/2020,17438
06/12/2020,17176
07/12/2020,10882
08/12/2020,15859
09/12/2020,17083
10/12/2020,15715
11/12/2020,16211
12/12/2020,9836
13/12/2020,14784
14/12/2020,12635
15/12/2020,11855
16/12/2020,15686
17/12/2020,17293
18/12/2020,18028
19/12/2020,16389
20/12/2020,11925
21/12/2020,13131
22/12/2020,14203
23/12/2020,12105
24/12/2020,11983
25/12/2020,13921
26/12/2020,11141
27/12/2020,9011
28/12/2020,9845
29/12/2020,12889
30/12/2020,10907
31/12/2020,11838
01/01/2021,12834
02/01/2021,9629
03/01/2021,12963
04/01/2021,11782
05/01/2021,8000
06/01/2021,14906
07/01/2021,9059
08/01/2021,8000
09/01/2021,8000
10/01/2021,8000
11/01/2021,10750
12/01/2021,9806
13/01/2021,9661
14/01/2021,12586
15/01/2021,11811
16/01/2021,11815
17/01/2021,12182
18/01/2021,12897
19/01/2021,8000
20/01/2021,10177
21/01/2021,8000
22/01/2021,11642
23/01/2021,11667
24/01/2021,14974
25/01/2021,15567
26/01/2021,12789
27/01/2021,10867
28/01/2021,14020
29/01/2021,11187
30/01/2021,12983
31/01/2021,16171
01/02/2021,11775
02/02/2021,16110
03/02/2021,15980
04/02/2021,11347
05/02/2021,17406
06/02/2021,16863
07/02/2021,15365
08/02/2021,13073
09/02/2021,13092
10/02/2021,14375
11/02/2021,17943
12/02/2021,13785
13/02/2021,18309
14/02/2021,13624
15/02/2021,17099
16/02/2021,18410
17/02/2021,25795
18/02/2021,14714
19/02/2021,23656
20/02/2021,20092
21/02/2021,21286
22/02/2021,20825
23/02/2021,22229
24/02/2021,20866
25/02/2021,26129
26/02/2021,20844
27/02/2021,26064
28/02/2021,21195
01/03/2021,23415
02/03/2021,20854
03/03/2021,25915
04/03/2021,29372
05/03/2021,25297
06/03/2021,25438
07/03/2021,23189
08/03/2021,26356
09/03/2021,22782
10/03/2021,25343
11/03/2021,29289
12/03/2021,33097
13/03/2021,38105
14/03/2021,28459
15/03/2021,35071
16/03/2021,32047
17/03/2021,31417
18/03/2021,33728
19/03/2021,33180
20/03/2021,33892
21/03/2021,32907
22/03/2021,30512
23/03/2021,30653
24/03/2021,37824
25/03/2021,35618
26/03/2021,35247
27/03/2021,37650
28/03/2021,40601
29/03/2021,39351
30/03/2021,37438
31/03/2021,43684
